,name,categories,lat,lng,zipcode
0,Michaels,Arts & Crafts Store,30.09901953,-81.71935424,32003
1,Kohl's,Department Store,30.099014,-81.720276,32003
2,Kirkland’s,Furniture / Home Store,30.09939699,-81.71884165,32003
3,Justice,Kids Store,30.09916859,-81.71859568,32003
4,MOJO Smokehouse BBQ & Blues,BBQ Joint,30.09813963,-81.71339654,32003
5,Mellow Mushroom,Pizza Place,30.098647,-81.713242,32003
6,Tijuana Flats,Tex-Mex Restaurant,30.10173243,-81.71872311,32003
7,The Fresh Market,Grocery Store,30.10107978,-81.71779984,32003
8,Chili's Grill & Bar,Tex-Mex Restaurant,30.10160664,-81.72038524,32003
9,Dollar Tree,Discount Store,30.09941844,-81.72090174,32003
10,LongHorn Steakhouse,Steakhouse,30.10175238,-81.71478346,32003
11,New Vision Theatres Fleming Island 12,Movie Theater,30.09819892,-81.71446431,32003
12,Maple Street Biscuit Company,Breakfast Spot,30.10077,-81.718177,32003
13,Your Pie Fleming Island,Pizza Place,30.10032489,-81.71166555,32003
14,Sweet Frog Frozen Yogurt,Frozen Yogurt Shop,30.10185531,-81.71397728,32003
15,Five Guys,Burger Joint,30.10190842,-81.71372465,32003
16,Chick-fil-A,Fast Food Restaurant,30.1017373,-81.7108993,32003
17,Your Pie,Pizza Place,30.09998,-81.71057,32003
18,Hurricane Grill & Wings,Sports Bar,30.09827634,-81.71323411,32003
19,Brick Oven Pizzeria & Gastropub,Italian Restaurant,30.09766228,-81.71228891,32003
20,Firehouse Subs,Sandwich Place,30.10182,-81.714148,32003
21,La Nopalera,Mexican Restaurant,30.10182755,-81.71346188,32003
22,Walgreens,Pharmacy,30.1018478,-81.712765,32003
23,Crazy Beans Coffee,Coffee Shop,30.100411,-81.710917,32003
24,Publix,Grocery Store,30.1039292,-81.7111218,32003
25,Panera Bread,Bakery,30.10331708,-81.70949981,32003
26,O'Charley's,American Restaurant,30.101651,-81.716101,32003
27,Starbucks,Coffee Shop,30.102768,-81.71113,32003
28,Jersey Mike's Subs,Sandwich Place,30.101771,-81.718811,32003
29,Ruby Tuesday,American Restaurant,30.10177997,-81.70944861,32003
30,Jimmy John's,Sandwich Place,30.10116833,-81.71874404,32003
31,Sushiya,Asian Restaurant,30.10086832,-81.71658744,32003
32,IHOP,Breakfast Spot,30.09693121,-81.7079161,32003
33,Grassroots Natural Market,Grocery Store,30.09875419,-81.71396418,32003
34,Zaxby's Chicken Fingers & Buffalo Wings,Fried Chicken Joint,30.10106,-81.70957,32003
35,Winn-Dixie,Grocery Store,30.10062228,-81.71092649,32003
36,Steak 'n Shake,American Restaurant,30.101662,-81.71552,32003
37,ABC Fine Wine & Spirits,Liquor Store,30.096922,-81.70744,32003
38,Whataburger,Burger Joint,30.1010363,-81.70916949,32003
39,Starbucks,Coffee Shop,30.102118,-81.723564,32003
40,Discount Tire,Auto Garage,30.10109,-81.708569,32003
41,Great Clips,Salon / Barbershop,30.10025655,-81.71043639,32003
42,Shell,Gas Station,30.10168684,-81.71017706,32003
43,Karate America,Martial Arts Dojo,30.10109195,-81.71028405,32003
44,Supercuts,Salon / Barbershop,30.10101714,-81.71529253,32003
45,Redbox,Video Store,30.0952,-81.7138,32003
46,Subway,Sandwich Place,30.09766017,-81.7118362,32003
47,CVS pharmacy,Pharmacy,30.10194059,-81.71154117,32003
