,Zipcode,City,County,Type,Latitude,Longitude,Link,Current Population,2010 Population,Number of Households,Avarage House Value,White Population Share,Black Population Share,Hispanic Population Share,Asian Population Share,Residential Mailboxes,Business Mailboxes,Total Delivery Receptacles,Number of Businesses,Annual Payroll,Number of Employees,Water Area,Land Area,Number of Retired Workers,Number of Disabled Workers,Male_0_4,Male_5_9,Male_10_14,Male_15_17,Male_18_20,Male_21_24,Male_25_29,Male_30_34,Male_35_39,Male_40_44,Male_45_49,Male_50_54,Male_55_59,Male_60_64,Male_65_69,Male_70_74,Male_75_79,Male_80_84,Male_85_inf,Female_0_4,Female_5_9,Female_10_14,Female_15_17,Female_18_20,Female_21_24,Female_25_29,Female_30_34,Female_35_39,Female_40_44,Female_45_49,Female_50_54,Female_55_59,Female_60_64,Female_65_69,Female_70_74,Female_75_79,Female_80_84,Female_85_inf,Owner Occupation Share
0,32003,Fleming Island,Clay,Standard,30.096584,-81.718908,/zip-code/32003/zip-code-32003.asp,30072.0,27126.0,9821.0,242700.0,0.8863083388630834,0.06016368060163681,0.06421883064218831,0.0541178205411782,10896.0,540.0,11038.0,604.0,208501000.0,6498.0,7.03,15.827,2785.0,320.0,713.0,1006.0,1294.0,804.0,586.0,516.0,520.0,503.0,765.0,1084.0,1295.0,1082.0,872.0,796.0,578.0,338.0,256.0,151.0,131.0,636.0,969.0,1179.0,802.0,474.0,491.0,533.0,589.0,1016.0,1229.0,1414.0,1180.0,865.0,850.0,561.0,353.0,302.0,218.0,175.0,0.8064351898991956
1,32004,Ponte Vedra Beach,Saint Johns,P.O. Box,30.2396,-81.3855,/zip-code/32004/zip-code-32004.asp,0.0,0.0,0.0,0.0,,,,,0.0,0.0,2343.0,41.0,11275000.0,401.0,0.0,0.0,300.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,32006,Fleming Island,Clay,P.O. Box,30.107,-81.717,/zip-code/32006/zip-code-32006.asp,0.0,0.0,0.0,0.0,,,,,0.0,0.0,680.0,7.0,541000.0,11.0,0.0,0.0,60.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,32007,Bostwick,Putnam,P.O. Box,29.7739,-81.6373,/zip-code/32007/zip-code-32007.asp,0.0,0.0,0.0,0.0,,,,,0.0,0.0,214.0,11.0,3662000.0,132.0,0.0,0.0,120.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,32008,Branford,Suwannee,Standard,29.910063,-82.873584,/zip-code/32008/zip-code-32008.asp,5302.0,5309.0,2177.0,74900.0,0.9461292145413449,0.01544546995667734,0.07440195893765304,0.009229610096063288,2173.0,86.0,2704.0,92.0,24883000.0,798.0,2.224,138.088,930.0,255.0,167.0,177.0,165.0,112.0,98.0,104.0,159.0,115.0,134.0,181.0,183.0,211.0,210.0,193.0,179.0,146.0,102.0,57.0,31.0,142.0,140.0,145.0,88.0,69.0,82.0,131.0,130.0,146.0,151.0,209.0,189.0,226.0,198.0,186.0,142.0,99.0,54.0,58.0,0.8153422140560405
5,32009,Bryceville,Nassau,Standard,30.423422,-81.942267,/zip-code/32009/zip-code-32009.asp,3366.0,3325.0,1163.0,154900.0,0.9705263157894737,0.013233082706766918,0.02075187969924812,0.009323308270676692,1177.0,13.0,1313.0,33.0,2869000.0,92.0,0.011,86.031,350.0,80.0,104.0,118.0,149.0,71.0,71.0,72.0,83.0,67.0,122.0,130.0,152.0,133.0,123.0,88.0,85.0,47.0,39.0,12.0,10.0,88.0,108.0,135.0,58.0,69.0,70.0,79.0,80.0,117.0,143.0,149.0,148.0,108.0,88.0,98.0,58.0,24.0,21.0,8.0,0.9122957867583835
6,32011,Callahan,Nassau,Standard,30.581655,-81.813698,/zip-code/32011/zip-code-32011.asp,15584.0,13854.0,5041.0,157900.0,0.935181175111881,0.0526923632163996,0.023964198065540638,0.010682835282228959,5667.0,158.0,6723.0,221.0,41732000.0,1504.0,0.007,173.486,1635.0,510.0,423.0,491.0,516.0,349.0,311.0,342.0,312.0,349.0,444.0,552.0,595.0,546.0,465.0,393.0,305.0,222.0,146.0,92.0,48.0,370.0,453.0,523.0,311.0,293.0,318.0,357.0,382.0,493.0,531.0,616.0,499.0,485.0,391.0,306.0,230.0,199.0,111.0,85.0,0.8204721285459234
7,32013,Day,Lafayette,P.O. Box,30.191124,-83.296812,/zip-code/32013/zip-code-32013.asp,0.0,0.0,0.0,0.0,,,,,0.0,0.0,211.0,1.0,0.0,0.0,0.0,0.0,25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,32024,Lake City,Columbia,Standard,30.063128,-82.71866,/zip-code/32024/zip-code-32024.asp,20449.0,18733.0,7140.0,120200.0,0.9062082955212726,0.06912934393850424,0.05172689905514333,0.012704852399508889,7805.0,181.0,7963.0,199.0,47287000.0,1703.0,0.13,143.031,2520.0,690.0,641.0,681.0,623.0,408.0,349.0,385.0,554.0,517.0,516.0,526.0,673.0,760.0,679.0,599.0,490.0,371.0,254.0,155.0,77.0,615.0,617.0,637.0,372.0,334.0,396.0,572.0,530.0,479.0,593.0,691.0,810.0,631.0,633.0,546.0,404.0,295.0,175.0,145.0,0.8296918767507003
9,32025,Lake City,Columbia,Standard,30.063408,-82.569213,/zip-code/32025/zip-code-32025.asp,18824.0,22380.0,7594.0,109700.0,0.7544682752457551,0.2314119749776586,0.0515638963360143,0.01224307417336908,7811.0,664.0,9972.0,455.0,292296000.0,6430.0,0.822,97.444,2485.0,725.0,671.0,642.0,631.0,386.0,941.0,1104.0,1008.0,902.0,848.0,869.0,862.0,831.0,686.0,561.0,458.0,367.0,296.0,218.0,214.0,672.0,596.0,536.0,340.0,381.0,543.0,675.0,520.0,549.0,561.0,669.0,702.0,618.0,611.0,484.0,439.0,358.0,303.0,328.0,0.621148274953911
